Infinitive,Simple Past,Past Participle,Spanish
Accept,Accepted,Accepted,Aceptar
Count,Counted,Counted,Contar
Date,Dated,Dated,Citar
End,Ended,Ended,Terminar
Expect,Expected,Expected,Esperar
Intend,Intended,Intended,Intentar
Need,Needed,Needed,Necesitar
Plant,Planted,Planted,Plantar
Point,Pointed,Pointed,Señalar
Rent,Rented,Rented,Rentar
Repeat,Repeated,Repeated,Repetir
Resist,Resisted,Resisted,Resistir
Start,Started,Started,Empezar
Visit,Visited,Visited,Visitar
Wait,Waited,Waited,Esperar
Want,Wanted,Wanted,Querer
Ask,Asked,Asked,Preguntar
Cook,Cooked,Cooked,Cocinar
Dance,Danced,Danced,Bailar
Dress,Dressed,Dressed,Vestir
Erase,Erased,Erased,Borrar
Finish,Finished,Finished,Terminar
Help,Helped,Helped,Ayudar
Jump,Jumped,Jumped,Saltar
Like,Liked,Liked,Gustar
Look,Looked,Looked,Mirar
Miss,Missed,Missed,Extrañar
Practice,Practiced,Practiced,Practicar
Push,Pushed,Pushed,Empujar
Shop,Shopped,Shopped,Comprar
Smoke,Smoked,Smoked,Fumar
Stop,Stopped,Stopped,Detener
Talk,Talked,Talked,Hablar
Use,Used,Used,Usar
Walk,Walked,Walked,Caminar
Wash,Washed,Washed,Lavar
Wish,Wished,Wished,Desear
Work,Worked,Worked,Trabajar
Answer,Answered,Answered,Responder
Arrive,Arrived,Arrived,Llegar
Belong,Belonged,Belonged,Pertenecer
Change,Changed,Changed,Cambiar
Clean,Cleaned,Cleaned,Limpiar
Climb,Climbed,Climbed,Escalar
Close,Closed,Closed,Cerrar
Consider,Considered,Considered,Considerar
Dare,Dared,Dared,Retar
Deliver,Delivered,Delivered,Entregar
Enjoy,Enjoyed,Enjoyed,Disfrutar
Fill,Filled,Filled,Llenar
Follow,Followed,Followed,Seguir
Hurry,Hurried,Hurried,Apurar
Learn,Learned,Learned,Aprender
Listen,Listened,Listened,Escuchar
Live,Lived,Lived,Vivir
Love,Loved,Loved,Amar
Name,Named,Named,Nombrar
Open,Opened,Opened,Abrir
Order,Ordered,Ordered,Ordenar
Plan,Planned,Planned,Planear
Play,Played,Played,Jugar
Rain,Rained,Rained,Llover
Remember,Remembered,Remembered,Recordar
Show,Showed,Showed,Mostrar
Stay,Stayed,Stayed,Permanecer
Study,Studied,Studied,Estudiar
Travel,Traveled,Traveled,Viajar
Try,Tried,Tried,Intentar / Tratar
Turn,Turned,Turned,Voltear
